kdrama_name,episodes,start_airing,end_airing,duration,score,scored_by,ranked,popularity,content_rating,watchers
Bride of the Century,16,2014-02-22,2014-04-12,67.0,7.9,13418.0,2959,447,15+ - Teens 15 or older,26417
Bride of the Sun,112,2011-10-24,2012-03-30,37.0,6.8,55.0,85971,12385,Not Yet Rated,391
Brilliant Heritage,122,2020-04-20,2020-10-09,30.0,7.4,245.0,6101,8247,15+ - Teens 15 or older,848
Brilliant Legacy,122,2020-04-20,2020-10-09,30.0,7.4,245.0,6101,8247,15+ - Teens 15 or older,848
"Bring It On, Ghost",16,2016-07-11,2016-08-30,60.0,8.1,37271.0,1554,84,15+ - Teens 15 or older,76344
Bubble Gum,16,2015-10-26,2015-12-15,60.0,7.2,3829.0,7445,1031,15+ - Teens 15 or older,13637
Bubbly Lovely,120,2016-11-28,2017-06-02,35.0,7.4,230.0,6187,7065,15+ - Teens 15 or older,1109
Bulgasal: Immortal Souls,16,2021-12-18,2022-02-06,75.0,8.2,10288.0,1216,514,15+ - Teens 15 or older,24115
Business Proposal,12,2022-02-28,2022-04-05,60.0,8.7,85840.0,246,20,15+ - Teens 15 or older,123184
Café Minamdang,10,,,15.0,7.3,344.0,7101,7216,15+ - Teens 15 or older,1068
Call It Love,16,2023-02-22,2023-04-12,70.0,8.3,7566.0,902,574,13+ - Teens 13 or older,22464
"Can We Fall in Love, Again?",20,2014-01-06,2014-03-11,60.0,7.3,1103.0,6865,3878,15+ - Teens 15 or older,2835
Can We Get Married?,20,2012-10-29,2013-01-01,56.0,7.0,3136.0,8385,1602,15+ - Teens 15 or older,8569
Can't Lose,18,2011-08-24,2011-10-20,70.0,6.8,847.0,8854,4267,15+ - Teens 15 or older,2469
Can't Stand Anymore,111,2013-08-05,2014-01-09,40.0,7.2,9.0,80736,16505,15+ - Teens 15 or older,217
Capital Scandal,16,2007-06-06,2007-08-01,70.0,7.6,1309.0,4947,3361,13+ - Teens 13 or older,3465
Catch the Ghost,16,2019-10-21,2019-12-10,65.0,8.1,7482.0,1799,592,15+ - Teens 15 or older,21888
Celebrity,12,,,45.0,8.3,15720.0,863,399,18+ Restricted (violence & profanity),28976
Cheat on Me If You Can,16,2020-12-02,2021-01-28,65.0,7.8,3274.0,3145,1343,15+ - Teens 15 or older,10293
Cheer Up,16,2022-10-03,2022-12-13,70.0,7.5,8892.0,5579,494,15+ - Teens 15 or older,24866
Cheer Up!,16,2022-10-03,2022-12-13,70.0,7.5,8892.0,5579,494,15+ - Teens 15 or older,24866
"Cheer Up, Mr. Kim!",124,2012-11-05,2013-04-26,35.0,7.3,475.0,7059,5996,Not Yet Rated,1439
Cheese in the Trap,16,2016-01-04,2016-03-01,65.0,7.4,46769.0,6281,38,15+ - Teens 15 or older,97148
Cheongdam-dong Alice,16,2012-12-01,2013-01-27,70.0,7.2,8270.0,7797,872,15+ - Teens 15 or older,15889
Cheongdam-dong Scandal,119,2014-07-21,2015-01-02,40.0,7.2,69.0,81280,9214,Not Yet Rated,689
Cheo Yong,10,2014-02-09,2014-04-06,75.0,7.7,2046.0,4357,2287,Not Yet Rated,5580
Chicago Typewriter,16,2017-04-07,2017-06-03,70.0,8.7,23323.0,277,126,15+ - Teens 15 or older,59649
Chicken Nugget,12,,,60.0,,,37166,5075,Not Yet Rated,1858
Chief of Staff,10,2019-06-14,2019-07-13,66.0,8.0,2212.0,2238,1873,15+ - Teens 15 or older,7090
Children of a Lesser God,16,2018-03-03,2018-04-22,67.0,8.0,1506.0,2103,2213,15+ - Teens 15 or older,5816
Children of Nobody,32,2018-11-21,2019-01-16,30.0,8.6,4735.0,349,838,15+ - Teens 15 or older,16334
Children of the 20th Century,32,2017-10-09,2017-11-28,35.0,7.8,3747.0,3326,1258,15+ - Teens 15 or older,11077
Chimera,16,2021-10-30,2021-12-19,65.0,8.1,2294.0,1660,1712,15+ - Teens 15 or older,7925
Chip In,8,2020-07-22,2020-08-13,60.0,7.8,1476.0,3207,3344,15+ - Teens 15 or older,3487
Choco Bank,6,2016-02-15,2016-02-21,14.0,7.1,4959.0,7997,1395,13+ - Teens 13 or older,9923
