kdrama_name,genre
"['adventure', 'life', 'fantasy', 'melodrama']",cancer
"['adventure', 'life', 'fantasy', 'melodrama']", dream world
"['adventure', 'life', 'fantasy', 'melodrama']", mixed live actionanimation
"['adventure', 'life', 'fantasy', 'melodrama']", tearjerker
"['adventure', 'life', 'fantasy', 'melodrama']", terminal illness
"['adventure', 'life', 'fantasy', 'melodrama']", adapted from a webtoon
"['adventure', 'life', 'fantasy', 'melodrama']", web series
"['adventure', 'life', 'fantasy', 'melodrama']", short length series
"['adventure', 'life', 'fantasy', 'melodrama']", supportive girlfriend
"['adventure', 'life', 'fantasy', 'melodrama']", mental illness 
"['romance', 'drama']",cancer
"['romance', 'drama']", family relationship
"['romance', 'drama']", terminal illness
"['romance', 'drama']", poor male lead
"['romance', 'drama']", divorced female lead
"['romance', 'drama']", soap opera
"['romance', 'drama']", healing
"['romance', 'drama']", infidelity
"['romance', 'drama']", fatherson relationship
"['romance', 'drama']", poverty 
"['comedy', 'romance', 'youth', 'melodrama']",terminal illness
"['comedy', 'romance', 'youth', 'melodrama']", transfer student male lead
"['comedy', 'romance', 'youth', 'melodrama']", student supporting character
"['comedy', 'romance', 'youth', 'melodrama']", student female lead
"['comedy', 'romance', 'youth', 'melodrama']", student male lead
"['comedy', 'romance', 'youth', 'melodrama']", school setting
"['comedy', 'romance', 'youth', 'melodrama']", countryside setting
"['comedy', 'romance', 'youth', 'melodrama']", teenager supporting character
"['comedy', 'romance', 'youth', 'melodrama']", teenager female lead
"['comedy', 'romance', 'youth', 'melodrama']", teenager male lead 
"['historical', 'mystery']",investigation 
"['romance', 'medical', 'melodrama']",first love
"['romance', 'medical', 'melodrama']", male chases female first
"['romance', 'medical', 'melodrama']", tearjerker
"['romance', 'medical', 'melodrama']", second chance romance
"['romance', 'medical', 'melodrama']", death
"['romance', 'medical', 'melodrama']", second chance
"['romance', 'medical', 'melodrama']", lovers separated
"['romance', 'medical', 'melodrama']", time skip
"['romance', 'medical', 'melodrama']", doctor male lead
"['romance', 'medical', 'melodrama']", death of a father 
"['romance', 'drama']",soap opera
"['romance', 'drama']", family 
"['comedy', 'romance', 'drama', 'fantasy']",nice male lead
"['comedy', 'romance', 'drama', 'fantasy']", warm mancold woman
"['comedy', 'romance', 'drama', 'fantasy']", orphan female lead
"['comedy', 'romance', 'drama', 'fantasy']", strong female lead
"['comedy', 'romance', 'drama', 'fantasy']", opposites attract
"['comedy', 'romance', 'drama', 'fantasy']", ballet
"['comedy', 'romance', 'drama', 'fantasy']", rich female lead
"['comedy', 'romance', 'drama', 'fantasy']", tearjerker
"['comedy', 'romance', 'drama', 'fantasy']", male chases female first
"['comedy', 'romance', 'drama', 'fantasy']", cohabitation 
"['romance', 'drama', 'melodrama']",religious female lead
