kdrama_name,day
"['thriller', 'mystery', 'comedy', 'melodrama']",wednesday
"['thriller', 'mystery', 'comedy', 'melodrama']", thursday
"['business', 'comedy', 'romance', 'drama']",monday
"['business', 'comedy', 'romance', 'drama']", tuesday
"['business', 'comedy', 'romance', 'drama']", wednesday
"['business', 'comedy', 'romance', 'drama']", thursday
"['business', 'comedy', 'romance', 'drama']", friday
"['romance', 'life', 'medical', 'melodrama']",friday
"['romance', 'life', 'medical', 'melodrama']", saturday
"['romance', 'melodrama']",monday
"['romance', 'melodrama']", tuesday
"['romance', 'melodrama']", wednesday
"['romance', 'melodrama']", thursday
"['romance', 'melodrama']", friday
"['romance', 'family', 'melodrama']",monday
"['romance', 'family', 'melodrama']", tuesday
"['romance', 'family', 'melodrama']", wednesday
"['romance', 'family', 'melodrama']", thursday
"['romance', 'family', 'melodrama']", friday
"['comedy', 'romance', 'drama']",friday
"['comedy', 'romance', 'drama']", saturday
"['comedy', 'romance', 'drama']",friday
"['comedy', 'romance', 'drama']", saturday
"['thriller', 'mystery', 'sci-fi']",monday
"['thriller', 'mystery', 'sci-fi']", tuesday
"['romance', 'life', 'youth', 'drama']",tuesday
"['romance', 'life', 'youth', 'drama']", friday
"['action', 'thriller', 'crime']",wednesday
"['action', 'thriller', 'crime']", thursday
"['mystery', 'law', 'drama', 'melodrama']",friday
"['mystery', 'law', 'drama', 'melodrama']", saturday
"['thriller', 'mystery', 'law', 'youth']",wednesday
"['thriller', 'mystery', 'law', 'youth']", thursday
"['business', 'comedy', 'romance', 'drama']",monday
"['business', 'comedy', 'romance', 'drama']", tuesday
"['comedy', 'crime', 'drama']",saturday
"['comedy', 'crime', 'drama']", sunday
"['comedy', 'romance', 'fantasy']",NA
"['food', 'comedy', 'romance', 'drama']",monday
"['food', 'comedy', 'romance', 'drama']", tuesday
"['comedy', 'romance', 'fantasy']",saturday
"['comedy', 'romance', 'fantasy']", sunday
"['mystery', 'romance', 'drama', 'supernatural']",wednesday
"['mystery', 'romance', 'drama', 'supernatural']", thursday
"['thriller', 'horror', 'supernatural']",friday
"['thriller', 'mystery', 'romance', 'melodrama']",wednesday
"['thriller', 'mystery', 'romance', 'melodrama']", thursday
"['comedy', 'romance', 'drama', 'supernatural']",wednesday
"['comedy', 'romance', 'drama', 'supernatural']", thursday
"['thriller', 'mystery', 'law', 'drama']",saturday
"['thriller', 'mystery', 'law', 'drama']", sunday
"['mystery', 'youth']",saturday
"['historical', 'drama']",monday
"['historical', 'drama']", tuesday
"['food', 'comedy', 'romance']",monday
"['food', 'comedy', 'romance']", tuesday
"['comedy', 'romance']",saturday
