kdrama_name,tags
"['business', 'romance', 'life', 'drama']",South Korea
"['action', 'thriller', 'mystery', 'supernatural']",South Korea
['romance'],South Korea
"['psychological', 'comedy', 'romance', 'drama']",South Korea
"['psychological', 'comedy', 'romance', 'drama']",South Korea
"['psychological', 'comedy', 'romance', 'drama']",South Korea
"['comedy', 'romance', 'life', 'drama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['historical', 'romance', 'drama']",South Korea
"['historical', 'drama']",South Korea
"['action', 'adventure', 'historical', 'comedy', 'romance', 'martial arts', 'supernatural']",South Korea
"['action', 'thriller', 'historical', 'political']",South Korea
"['comedy', 'romance', 'life']",South Korea
"['mystery', 'romance', 'fantasy', 'melodrama']",South Korea
"['thriller', 'mystery', 'drama', 'fantasy']",South Korea
"['comedy', 'romance']",South Korea
"['action', 'historical', 'drama', 'fantasy']",South Korea
"['historical', 'law', 'romance', 'drama']",South Korea
"['historical', 'romance', 'fantasy']",South Korea
"['action', 'historical', 'drama', 'fantasy']",South Korea
"['music', 'comedy', 'life']",South Korea
"['thriller', 'mystery', 'psychological', 'drama']",South Korea
"['comedy', 'law', 'romance', 'drama']",South Korea
"['business', 'comedy', 'romance', 'drama']",South Korea
"['comedy', 'sitcom']",South Korea
"['youth', 'drama']",South Korea
"['mystery', 'life', 'youth', 'drama']",South Korea
"['comedy', 'romance', 'life', 'drama']",South Korea
"['romance', 'life', 'drama', 'sports']",South Korea
"['thriller', 'mystery', 'law', 'drama']",South Korea
"['law', 'drama']",South Korea
"['action', 'thriller', 'drama', 'sci-fi']",South Korea
['drama'],South Korea
"['comedy', 'romance', 'fantasy']",South Korea
"['romance', 'drama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['thriller', 'mystery', 'comedy', 'romance']",South Korea
"['life', 'drama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['drama', 'family', 'melodrama']",South Korea
"['drama', 'family', 'melodrama']",South Korea
"['historical', 'drama']",South Korea
"['romance', 'drama', 'family', 'melodrama']",South Korea
"['historical', 'romance', 'drama', 'family']",South Korea
"['historical', 'romance', 'drama', 'family', 'melodrama']",South Korea
"['drama', 'melodrama']",South Korea
"['romance', 'melodrama']",South Korea
"['romance', 'life', 'drama', 'melodrama']",South Korea
"['romance', 'medical']",South Korea
"['romance', 'family']",South Korea
