kdrama_name,actor
"['action', 'thriller', 'horror', 'sci-fi']", Lomon
"['action', 'thriller', 'horror', 'sci-fi']", Cho Yi Hyun
"['action', 'thriller', 'horror', 'sci-fi']", Yoo In Soo
"['action', 'thriller', 'horror', 'sci-fi']", Kim Byung Chul
"['romance', 'youth']",Oh Se Hun
"['romance', 'youth']", Jang Yeo Bin
"['romance', 'youth']", Cho Jun Young
"['romance', 'youth']", Jeon Yeong In
"['romance', 'youth']", Song Jae Rim
"['romance', 'youth']", Jung Eugene
"['comedy', 'romance', 'life', 'drama']",Son Ye Jin
"['comedy', 'romance', 'life', 'drama']", Kam Woo Sung
"['comedy', 'romance', 'life', 'drama']", Gong Hyung Jin
"['comedy', 'romance', 'life', 'drama']", Lee  Ha Na 
"['comedy', 'romance', 'life', 'drama']", Oh Yoon Ah
"['comedy', 'romance', 'life', 'drama']", Jin  Ji Hee
"['adventure', 'life', 'fantasy', 'melodrama']",Kim Ji Soo
"['adventure', 'life', 'fantasy', 'melodrama']", Lee Seol
"['adventure', 'life', 'fantasy', 'melodrama']", Oh Hyun Kyung
"['adventure', 'life', 'fantasy', 'melodrama']", Yoo Seung Mok
"['adventure', 'life', 'fantasy', 'melodrama']", Lee Jong Won
"['adventure', 'life', 'fantasy', 'melodrama']", Shin Joo Hwan
"['romance', 'drama']",Choi Jung Yoon
"['romance', 'drama']", Ahn Jae Mo
"['romance', 'drama']", Bae Seul Gi
"['romance', 'drama']", Park Hyung Joon
"['romance', 'drama']", Kim Jong Goo
"['romance', 'drama']", Yoon Mi Ra
"['comedy', 'romance', 'youth', 'melodrama']",Kai
"['comedy', 'romance', 'youth', 'melodrama']", Lee Ye Hyun
"['comedy', 'romance', 'youth', 'melodrama']", Kim Jin Kyung
"['comedy', 'romance', 'youth', 'melodrama']", Baek Chul Min
"['comedy', 'romance', 'youth', 'melodrama']", Jeon Mi Seon
"['comedy', 'romance', 'youth', 'melodrama']", Sung Byung Sook
"['historical', 'mystery']",Kim Ha Eun
"['historical', 'mystery']", Kwon Hae Hyo
"['historical', 'mystery']", Yeo Hyun Soo
"['historical', 'mystery']", Lee Gi Young
"['historical', 'mystery']", Kim Joo Young
"['historical', 'mystery']", Kim  Gyu Chul
"['romance', 'medical', 'melodrama']",Gu Hye Seon
"['romance', 'medical', 'melodrama']", Lee Sang Yoon
"['romance', 'medical', 'melodrama']", Kim Ji Suk
"['romance', 'medical', 'melodrama']", Seo Tae Hwa
"['romance', 'medical', 'melodrama']", Kim Yeo Jin
"['romance', 'medical', 'melodrama']", Kang Ha Neul
"['romance', 'drama']",Choi Jung Yoon
"['romance', 'drama']", Kang Se Jung
"['romance', 'drama']", Jung Sung Woon
"['romance', 'drama']", Yoon Hee Seok
"['romance', 'drama']", Choi Il Hwa
"['romance', 'drama']", Lee Jung Gil
"['comedy', 'romance', 'drama', 'fantasy']",Kim Myung Soo
"['comedy', 'romance', 'drama', 'fantasy']", Shin Hye Sun
"['comedy', 'romance', 'drama', 'fantasy']", Lee Dong Gun
"['comedy', 'romance', 'drama', 'fantasy']", Kim  Bo Mi
"['comedy', 'romance', 'drama', 'fantasy']", Woo Hee Jin
"['comedy', 'romance', 'drama', 'fantasy']", Gil Eun Hye
