kdrama_name,tags
Because This Is My First Life, multiple couples
Because This Is My First Life, cohabitation
Because This Is My First Life, nerdy male lead
Because This Is My First Life, sismance
Because This Is My First Life, calm male lead
Because This Is My First Life, cat
Because This Is My First Life, multiple mains 
Monster,determined male lead
Monster, investigation
Monster, suspense
Monster, murder
Monster, trauma
Monster, psychological manipulation
Monster, smart male lead
Monster, death
Monster, corruption
Monster, motherson relationship 
Today's Webtoon,coworkers relationship
Today's Webtoon, workplace setting
Today's Webtoon, nice female lead
Today's Webtoon, hardworking female lead
Today's Webtoon, webtoon artist supporting character
Today's Webtoon, manhwa artist supporting character
Today's Webtoon, editor female lead
Today's Webtoon, positive female lead
Today's Webtoon, strong female lead
Today's Webtoon, adapted from a manga 
Taxi Driver,revenge
Taxi Driver, adapted from a webtoon
Taxi Driver, strong male lead
Taxi Driver, investigation
Taxi Driver, secret organization
Taxi Driver, smart female lead
Taxi Driver, taxi driver male lead
Taxi Driver, police officer male lead
Taxi Driver, prosecutor female lead
Taxi Driver, antihero 
The Empress Ki,smart female lead
The Empress Ki, strong female lead
The Empress Ki, power struggle
The Empress Ki, possessive male lead
The Empress Ki, love triangle
The Empress Ki, yuan dynasty
The Empress Ki, revenge
The Empress Ki, crossdressing
The Empress Ki, goryeo dynasty
The Empress Ki, female lead action scenes 
My Liberation Diary,slow burn story
My Liberation Diary, character development
My Liberation Diary, multiple mains
My Liberation Diary, loneliness
My Liberation Diary, introverted female lead
My Liberation Diary, alcoholic male lead
My Liberation Diary, slight comedy
My Liberation Diary, slow burn romance
My Liberation Diary, inner monologue
My Liberation Diary, alcoholism 
My Liberation Diary,slow burn story
My Liberation Diary, character development
My Liberation Diary, multiple mains
My Liberation Diary, loneliness
My Liberation Diary, introverted female lead
My Liberation Diary, alcoholic male lead
My Liberation Diary, slight comedy
My Liberation Diary, slow burn romance
My Liberation Diary, inner monologue
My Liberation Diary, alcoholism 
The Sound of Magic,magician male lead
The Sound of Magic, student
The Sound of Magic, poor female lead
The Sound of Magic, adapted from a webtoon
The Sound of Magic, high school
The Sound of Magic, growing up
The Sound of Magic, youth
The Sound of Magic, melodrama
The Sound of Magic, musical
The Sound of Magic, debt 
Something in the Rain,family pressure
Something in the Rain, steamy kiss
Something in the Rain, workplace abuse
Something in the Rain, nice male lead
Something in the Rain, forbidden love
Something in the Rain, older womanyounger man
Something in the Rain, sexual harassment
Something in the Rain, sismance
Something in the Rain, male chases female first
Something in the Rain, disapproving parent 
My Roommate Is a Gumiho,ninetailed fox
My Roommate Is a Gumiho, cohabitation
My Roommate Is a Gumiho, smart male lead
My Roommate Is a Gumiho, nice male lead
My Roommate Is a Gumiho, supernatural
My Roommate Is a Gumiho, independent female lead
My Roommate Is a Gumiho, interspecies romance
My Roommate Is a Gumiho, adapted from a webtoon
My Roommate Is a Gumiho, friendship
My Roommate Is a Gumiho, multiple mains 
My Love from Another Star,alien
My Love from Another Star, interspecies romance
My Love from Another Star, professor
My Love from Another Star, sassy female lead
My Love from Another Star, superhuman strength
My Love from Another Star, time manipulation
My Love from Another Star, cyberbullying
My Love from Another Star, star crossed lovers
My Love from Another Star, steamy kiss
My Love from Another Star, special power 
Star's Lover,alien
Star's Lover, interspecies romance
Star's Lover, professor
Star's Lover, sassy female lead
Star's Lover, superhuman strength
Star's Lover, time manipulation
Star's Lover, cyberbullying
Star's Lover, star crossed lovers
Star's Lover, steamy kiss
Star's Lover, special power 
Healer,double identity
Healer, hidden identity
Healer, smart male lead
Healer, strong male lead
Healer, childish female lead
Healer, fight
Healer, sassy female lead
Healer, hardworking female lead
Healer, trauma
Healer, badass male lead 
Shooting Stars,entertainment industry
Shooting Stars, famous male lead
Shooting Stars, enemies to lovers
Shooting Stars, lovehate relationship
Shooting Stars, bickering couple
Shooting Stars, multiple mains
Shooting Stars, actor male lead
Shooting Stars, actoractress supporting character
Shooting Stars, reporter female lead
Shooting Stars, multiple couples 
Juvenile Justice,hardworking female lead
Juvenile Justice, strong female lead
Juvenile Justice, hardworking male lead
Juvenile Justice, tough female lead
Juvenile Justice, kind male lead
Juvenile Justice, redemption
Juvenile Justice, violence
Juvenile Justice, runaway teenager
Juvenile Justice, justice system
Juvenile Justice, web series 
Extracurricular,prostitution
Extracurricular, illegal business
Extracurricular, student
Extracurricular, high school
Extracurricular, greed
Extracurricular, sex trafficking
Extracurricular, smart male lead
Extracurricular, rich female lead
Extracurricular, violence
Extracurricular, strong female lead 
D.P.,military abuse
D.P., violence
D.P., bromance
D.P., ptsd
D.P., adapted from a webtoon
D.P., sexual assault
D.P., desertion
D.P., dark fiction
D.P., harassment
D.P., humiliation 
Dr. Romantic,strong male lead
Dr. Romantic, smart male lead
Dr. Romantic, hardworking female lead
Dr. Romantic, hardworking male lead
Dr. Romantic, character development
Dr. Romantic, smart female lead
Dr. Romantic, bossemployee relationship
Dr. Romantic, slow burn romance
Dr. Romantic, trauma
Dr. Romantic, male chases female first 
Weightlifting Fairy Kim Bok-Joo,friends to lovers
Weightlifting Fairy Kim Bok-Joo, weightlifting
Weightlifting Fairy Kim Bok-Joo, strong female lead
Weightlifting Fairy Kim Bok-Joo, bantering relationship
Weightlifting Fairy Kim Bok-Joo, male chases female first
Weightlifting Fairy Kim Bok-Joo, swimming
Weightlifting Fairy Kim Bok-Joo, sismance
Weightlifting Fairy Kim Bok-Joo, fatherdaughter relationship
Weightlifting Fairy Kim Bok-Joo, slow burn romance
Weightlifting Fairy Kim Bok-Joo, love triangle 
Heirs,high school
Heirs, family pressure
Heirs, love triangle
Heirs, school bullying
Heirs, rich male lead
Heirs, rich manpoor woman
Heirs, male chases female first
Heirs, poor female lead
Heirs, controlling parent
Heirs, sibling rivalry 
Anna,ripley syndrome
Anna, mental illness
Anna, antisocial personality disorder
Anna, miniseries
Anna, antihero
Anna, web series
Anna, suspense 
The Tale of Nokdu,crossdressing
The Tale of Nokdu, joseon dynasty
The Tale of Nokdu, hidden identity
The Tale of Nokdu, strong male lead
The Tale of Nokdu, birth secret
The Tale of Nokdu, strong female lead
The Tale of Nokdu, gender bender
The Tale of Nokdu, first love
The Tale of Nokdu, martial arts master
The Tale of Nokdu, smart male lead 
Romance Is a Bonus Book,friends to lovers
Romance Is a Bonus Book, cohabitation
Romance Is a Bonus Book, successful male lead
Romance Is a Bonus Book, smart male lead
