kdrama_name,actor
A Korean Odyssey, Lee El
Bulgasal,Lee Jin Wook
Bulgasal, Kwon Na Ra
Bulgasal, Lee Joon
Bulgasal, Gong Seung Yeon
Bulgasal, Jung Jin Young
Bulgasal, Kim Woo Seok
Record of Youth,Park Bo Gum
Record of Youth, Park So Dam
Record of Youth, Byeon Woo Seok
Record of Youth, Kwon Soo Hyun
Record of Youth, Ha Hee Ra
Record of Youth, Park Soo Young
The Iron Empress,Shin Hye Sun
The Iron Empress, Kim Jung Hyun
The Iron Empress, Bae Jong Ok
The Iron Empress, Kim Tae Woo
The Iron Empress, Jo Yun Hee
The Iron Empress, Seol In Ah
Black,Song Seung Heon
Black, Go Ah Ra
Black, Lee El
Black, Kim Dong Jun
Black, Kim Won Hae
Black, Jo Jae Yoon
Love Alarm,Kim So Hyun
Love Alarm, Jung Ga Ram
Love Alarm, Song Kang
Love Alarm, Kim Hee Chang
Love Alarm, Go Min Si
Love Alarm, Lee Jae Eung
My Country: The New Age,Yang Se Jong
My Country: The New Age, Woo Do Hwan
My Country: The New Age, Kim Seol Hyun
My Country: The New Age, Jang Hyuk
My Country: The New Age, Kim Yeong Cheol
My Country: The New Age, Ahn Nae Sang
I'm Not a Robot,Yoo Seung Ho
I'm Not a Robot, Chae Soo Bin
I'm Not a Robot, Uhm Ki Joon
I'm Not a Robot, Park Se Wan
I'm Not a Robot, Song Jae Ryong
I'm Not a Robot, Go Geon Han
Hell Is Other People,Im Si Wan
Hell Is Other People, Lee Dong Wook
Hell Is Other People, Lee Jung Eun
Hell Is Other People, Ahn Eun Jin
Hell Is Other People, Park Jong Hwan
Hell Is Other People, Lee Joong Ok
Youth of May,Lee Do Hyun
Youth of May, Go Min Si
Youth of May, Lee Sang Yi
Youth of May, Geum Sae Rok
Youth of May, Oh Man Suk
Youth of May, Uhm Hyo Sub
One Ordinary Day,Kim Soo Hyun
One Ordinary Day, Cha Seung Won
One Ordinary Day, Lee Seol
One Ordinary Day, Kim Shin Rok
One Ordinary Day, Kim Hong Pa
One Ordinary Day, Kim Sung Gyu
Bad and Crazy,Lee Dong Wook
Bad and Crazy, Wi Ha Joon
Bad and Crazy, Han Ji Eun
Bad and Crazy, Cha Hak Yeon
Bad and Crazy, Sung Ji Ru
Bad and Crazy, Cha Shi Won
The Good Detective,Son Hyun Joo
The Good Detective, Jang Seung Jo
The Good Detective, Lee Elijah
The Good Detective, Oh Jung Se
The Good Detective, Ji Seung Hyun
The Good Detective, Son Jong Hak
The Fiery Priest,Kim Nam Gil
The Fiery Priest, Kim Sung Kyun
The Fiery Priest, Lee Ha Nee
The Fiery Priest, Go Jun
The Fiery Priest, Geum Sae Rok
The Fiery Priest, Jeon Sung Woo
Clean with Passion for Now,Yoon Kyun Sang
Clean with Passion for Now, Kim Yoo Jung
Clean with Passion for Now, Song Jae Rim
Clean with Passion for Now, Go Geon Han
Clean with Passion for Now, Yoo  Sun
Clean with Passion for Now, Kim Won Hae
Dr. Brain,Lee Sun Kyun
Dr. Brain, Lee Yoo Young
Dr. Brain, Park Hee Soon 
Dr. Brain, Seo Ji Hye
Dr. Brain, Lee Jae Won
Dr. Brain, Jo Bok Rae
Voice,Jang Hyuk
Voice, Lee  Ha Na 
Voice, Baek Sung Hyun
Voice, Ye Sung
Voice, Son Eun Seo
Voice, Kim Jae Wook
Alhambeura Goongjeonui Chooeok,Hyun Bin
Alhambeura Goongjeonui Chooeok, Park Shin Hye
Alhambeura Goongjeonui Chooeok, Park Hoon
Alhambeura Goongjeonui Chooeok, Lee Seung Joon
Alhambeura Goongjeonui Chooeok, Min Jin Woong
Alhambeura Goongjeonui Chooeok, Kim Eui Sung
"Poong, the Joseon Psychiatrist",Kim Min Jae
"Poong, the Joseon Psychiatrist", Kim Hyang Gi 
"Poong, the Joseon Psychiatrist", Kim Sang Kyung
"Poong, the Joseon Psychiatrist", Yoo Sung Joo
"Poong, the Joseon Psychiatrist", Jung Won Chang
"Poong, the Joseon Psychiatrist", Kim Soo An
Stove League,Namkoong Min
Stove League, Park Eun Bin
Stove League, Cho Byeong Kyu
Stove League, Oh Jung Se
Stove League, Son Jong Hak
Stove League, Kim Do Hyun
Rookie Historian Goo Hae-Ryung,Shin Se Kyung
Rookie Historian Goo Hae-Ryung, Cha Eun Woo
Rookie Historian Goo Hae-Ryung, Lee Ji Hoon
Rookie Historian Goo Hae-Ryung, Park Ki Woong
Rookie Historian Goo Hae-Ryung, Lee Ye Rim
Rookie Historian Goo Hae-Ryung, Park Ji Hyun
My Secret Romance,Sung Hoon
My Secret Romance, Song Ji Eun
My Secret Romance, Kim Jae Young
My Secret Romance, Jung Da Sol
My Secret Romance, Lee Hae In
My Secret Romance, Baek Seung Heon
Lovers of the Red Sky,Kim Yoo Jung
Lovers of the Red Sky, Ahn Hyo Seop
Lovers of the Red Sky, Gong Myung
Lovers of the Red Sky, Kwak Shi Yang
Lovers of the Red Sky, Choi Kwang Il
Lovers of the Red Sky, Kim Kwang Gyu
Insider,Kang Ha Neul
Insider, Lee Yoo Young
Insider, Heo Sung Tae
Insider, Kim  Sang Ho
Insider, Moon Sung Geun
Insider, Kang Young Seok
18 Again,Kim Ha Neul
18 Again, Yoon Sang Hyun
18 Again, Lee Do Hyun
18 Again, Roh Jeong Eui
18 Again, Ryeoun
18 Again, Wi Ha Joon
Touch Your Heart,Lee Dong Wook
Touch Your Heart, Yoo In Na
Touch Your Heart, Lee Sang Woo
Touch Your Heart, Son Sung Yoon
Touch Your Heart, Oh Jung Se
Touch Your Heart, Shim Hyung Tak
Lawless Lawyer,Lee Joon Gi
Lawless Lawyer, Seo Yea Ji
Lawless Lawyer, Lee Hye Young
Lawless Lawyer, Choi Min Soo
Lawless Lawyer, Lee Ro Woon
Lawless Lawyer, Lee Dae Yeon
Police University,Cha Tae Hyun
Police University, Jung Jin Young
Police University, Krystal Jung
Police University, Hong Soo Hyun
Police University, Lee Jong Hyuk
Police University, Kang Shin Il
Melting Me Softly,Ji Chang Wook
Melting Me Softly, Won Jin Ah
Melting Me Softly, Yoon Se Ah
Melting Me Softly, Im Won Hee
Melting Me Softly, Shim Hyung Tak
Melting Me Softly, Kim Won Hae
Love All Play,Park Ju Hyun
Love All Play, Chae Jong Hyeop
Love All Play, Park Ji Hyun
Love All Play, Kim Moo Joon
Love All Play, Seo Ji Hye
Love All Play, Jo Han Chul
Uncontrollably Fond,Kim Woo Bin
Uncontrollably Fond, Bae Suzy
Uncontrollably Fond, Im Joo Hwan
Uncontrollably Fond, Im Ju Eun
