Kdrama_name,Episodes,start airing,end airing,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers
Mystic Pop-up Bar,12,20-May-20,25-Jun-20,jTBC Netflix,68,8.6,19286,258,161,15+ - Teens 15 or older,"40,517"
The Smile Has Left Your Eyes,16,3-Oct-18,22-Nov-18,tvN,64,8.3,16803,631,128,15+ - Teens 15 or older,"47,129"
My Secret Terrius,32,27-Sep-18,15-Nov-18,MBC,35,8.3,12173,659,307,15+ - Teens 15 or older,"27,069"
School 2017,16,17-Jul-17,5-Sep-17,KBS2,60,8.2,25313,968,105,15+ - Teens 15 or older,"53,069"
Doctor John,32,19-Jul-19,7-Sep-19,SBS,35,8.5,13420,312,272,15+ - Teens 15 or older,"29,564"
More Than Friends,16,25-Sep-20,28-Nov-20,jTBC Viki,68,7.4,6065,4598,578,15+ - Teens 15 or older,"17,098"
Designated Survivor: 60 Days,16,1-Jul-19,20-Aug-19,Netflix tvN,70,8.6,4969,232,861,15+ - Teens 15 or older,"12,000"
Bad Guys,11,4-Oct-14,13-Dec-14,OCN,65,8.5,12892,276,262,18+ Restricted (violence & profanity),"30,388"
Yeopgijeogin Geunyeo,32,29-May-17,18-Jul-17,SBS,30,7.8,6894,2495,519,G - All Ages,"18,577"
When the Camellia Blooms,40,18-Sep-19,21-Nov-19,KBS2 Netflix,35,8.5,20142,332,126,15+ - Teens 15 or older,"47,365"
My Strange Hero,32,10-Dec-18,4-Feb-19,SBS,35,8.1,14010,1057,187,15+ - Teens 15 or older,"37,002"
Misty,16,2-Feb-18,24-Mar-18,jTBC,70,8.3,3644,606,1006,15+ - Teens 15 or older,"10,077"
Mom,16,22-Feb-20,19-Apr-20,Netflix tvN,70,8.5,14569,329,248,15+ - Teens 15 or older,"31,690"
Naesungjukin Boseu,16,16-Jan-17,14-Mar-17,tvN,70,7.9,25050,2017,94,15+ - Teens 15 or older,"55,226"
Find Me in Your Memory,32,18-Mar-20,13-May-20,MBC,35,8.2,10953,850,296,15+ - Teens 15 or older,"27,589"
Adult Trainee,7,12-Nov-21,26-Nov-21,N/A,40,7.9,7043,1944,701,Not Yet Rated,"14,492"
Bloody Heart,16,2-May-22,21-Jun-22,KBS2,70,8.2,1726,922,1418,15+ - Teens 15 or older,"7,097"
Cheese in the Trap,16,4-Jan-16,1-Mar-16,tvN,65,7.5,41951,4101,29,15+ - Teens 15 or older,"86,247"
Familiar Wife,16,1-Aug-18,20-Sep-18,tvN,75,8.1,9009,1148,440,15+ - Teens 15 or older,"20,941"
High Society,16,8-Jun-15,28-Jul-15,SBS,60,7.3,11833,5007,289,Not Yet Rated,"28,081"
Shine or Go Crazy,24,19-Jan-15,7-Apr-15,MBC,65,7.7,2825,2885,1365,15+ - Teens 15 or older,"7,466"
Racket Boys,16,31-May-21,9-Aug-21,Netflix SBS,75,8.8,8239,85,504,15+ - Teens 15 or older,"18,910"
"Now, We Are Breaking Up",16,12-Nov-21,8-Jan-22,SBS ViuTV,60,6.9,5496,5962,542,15+ - Teens 15 or older,"18,023"
Investigation Partners,32,14-May-18,17-Jul-18,MBC,35,8.4,4729,543,914,15+ - Teens 15 or older,"11,326"
A Wonderful Sight,12,30-Oct-21,12-Dec-21,jTBC Netflix,70,8.2,3803,867,1046,15+ - Teens 15 or older,"9,753"
Nothing to Lose,32,22-Nov-17,11-Jan-18,SBS,35,7.7,2580,2664,1342,15+ - Teens 15 or older,"7,573"
River Where the Moon Rises,20,15-Feb-21,20-Apr-21,KBS2 Viki ViuTV,65,7.9,3825,1917,677,15+ - Teens 15 or older,"14,945"
Woori the Virgin,14,9-May-22,21-Jun-22,SBS,70,6.6,3992,6204,852,15+ - Teens 15 or older,"12,198"
Rookie Cops,16,26-Jan-22,16-Mar-22,N/A,60,8.3,5773,581,628,15+ - Teens 15 or older,"16,054"
Jirisan,16,23-Oct-21,12-Dec-21,iQiyi tvN,70,8.2,5731,987,516,15+ - Teens 15 or older,"18,644"
Cunning Single Lady,16,27-Feb-14,24-Apr-14,MBC,62,7.8,13894,2153,315,15+ - Teens 15 or older,"26,541"
The Ghost Detective,32,5-Sep-18,31-Oct-18,KBS2,35,7.8,3306,2516,976,15+ - Teens 15 or older,"10,420"
Tell Me What You Saw,16,1-Feb-20,22-Mar-20,OCN,60,8.2,5225,905,819,15+ - Teens 15 or older,"12,740"
Dakteoseu,20,20-Jun-16,23-Aug-16,SBS,60,7.9,29244,2098,78,15+ - Teens 15 or older,"62,486"
Strongest Deliveryman,16,4-Aug-17,23-Sep-17,KBS2,52,7.9,9660,1939,390,15+ - Teens 15 or older,"22,578"
Becoming Witch,12,25-Jun-22,10-Sep-22,TV Chosun,70,7.4,93,44868,4732,15+ - Teens 15 or older,"1,495"
Rugal,16,28-Mar-20,17-May-20,Netflix OCN,65,7.6,5305,3562,702,15+ - Teens 15 or older,"14,489"
Where Stars Land,32,1-Oct-18,26-Nov-18,SBS Viki,30,7.9,12352,1870,267,15+ - Teens 15 or older,"30,112"
Still 17,32,23-Jul-18,18-Sep-18,SBS,35,8.5,27706,335,90,15+ - Teens 15 or older,"56,506"
"It's Okay, That's Love",16,23-Jul-14,11-Sep-14,SBS,60,8.6,37480,184,47,15+ - Teens 15 or older,"76,395"
Angel's Last Mission: Love,32,22-May-19,11-Jul-19,KBS2,35,8.5,28512,379,77,15+ - Teens 15 or older,"62,736"
Good Manager,20,25-Jan-17,30-Mar-17,KBS2,60,8.6,13071,213,256,15+ - Teens 15 or older,"30,802"
Hello Monster,16,22-Jun-15,11-Aug-15,KBS2,70,8.4,23057,430,106,15+ - Teens 15 or older,"52,577"
Another Miss Oh,18,2-May-16,28-Jun-16,tvN,70,8.2,23411,854,130,15+ - Teens 15 or older,"46,955"
Doctor Prisoner,32,20-Mar-19,15-May-19,KBS2,35,8.4,6312,485,570,15+ - Teens 15 or older,"17,378"
Chocolate,16,29-Nov-19,18-Jan-20,jTBC Netflix,65,8.1,9537,1097,426,15+ - Teens 15 or older,"21,519"
The School Nurse Files,6," Sep 25, 2020",N/A,Netflix,51,7.4,8425,4734,482,15+ - Teens 15 or older,"19,411"
Memorist,16,11-Mar-20,30-Apr-20,tvN,65,8.4,11682,414,265,15+ - Teens 15 or older,"30,325"
Misaeng,20,17-Oct-14,20-Dec-14,tvN,75,8.7,10695,133,301,15+ - Teens 15 or older,"27,469"
Love with Flaws,32,27-Nov-19,16-Jan-20,MBC,30,7.8,9856,2503,290,15+ - Teens 15 or older,"28,036"
You Are My Spring,16,5-Jul-21,24-Aug-21,Netflix tvN,70,8.1,6221,1288,629,15+ - Teens 15 or older,"16,014"
