kdrama_name,genre
I Wanna Hear Your Song,romance
Secret Royal Inspector Joy,historical
Secret Royal Inspector Joy,mystery
Secret Royal Inspector Joy,comedy
Secret Royal Inspector Joy,romance
The Sound of Your Heart,comedy
The Sound of Your Heart,family
The Sound of Your Heart,sitcom
Squad 38,mystery
Squad 38,comedy
Squad 38,crime
Squad 38,drama
Tracer,action
Tracer,thriller
Tracer,mystery
Tracer,drama
Monthly Magazine Home,business
Monthly Magazine Home,comedy
Monthly Magazine Home,romance
Monthly Magazine Home,drama
Emergency Couple,comedy
Emergency Couple,romance
Emergency Couple,drama
Emergency Couple,medical
Hyena,comedy
Hyena,romance
Hyena,mature
Don't Dare to Dream,comedy
Don't Dare to Dream,romance
Reunited Worlds,romance
Reunited Worlds,drama
Reunited Worlds,melodrama
Reunited Worlds,supernatural
Something About 1%,comedy
Something About 1%,romance
Something About 1%,drama
Something About 1%,comedy
Something About 1%,romance
Something About 1%,drama
Hotel King,business
Hotel King,romance
Hotel King,drama
Hotel King,melodrama
A Gentleman's Dignity,comedy
A Gentleman's Dignity,romance
A Gentleman's Dignity,drama
A Gentleman's Dignity,melodrama
Shopping King Louie,comedy
Shopping King Louie,romance
Shopping King Louie,life
Shopping King Louie,drama
"I'm Sorry, I Love You",romance
"I'm Sorry, I Love You",life
"I'm Sorry, I Love You",drama
"I'm Sorry, I Love You",family
Angel Eyes,romance
Angel Eyes,family
Angel Eyes,medical
Angel Eyes,melodrama
Chicago Typewriter,comedy
Chicago Typewriter,romance
Chicago Typewriter,supernatural
Chicago Typewriter,political
Psychopath Diary,thriller
Psychopath Diary,mystery
Psychopath Diary,comedy
Psychopath Diary,crime
Money Flower,business
Money Flower,law
Money Flower,romance
Money Flower,melodrama
The Girl Who Sees Smells,mystery
The Girl Who Sees Smells,romance
The Girl Who Sees Smells,supernatural
Marriage Contract,romance
Marriage Contract,drama
Marriage Contract,melodrama
All In,romance
All In,crime
All In,drama
All In,melodrama
Potato Star 2013QR3,romance
Potato Star 2013QR3,drama
Potato Star 2013QR3,fantasy
Potato Star 2013QR3,sitcom
Zombie Detective,thriller
Zombie Detective,mystery
Zombie Detective,comedy
Zombie Detective,fantasy
The Miracle,comedy
The Miracle,romance
The Miracle,drama
The Miracle,supernatural
Scent of a Woman,comedy
Scent of a Woman,romance
Scent of a Woman,life
Scent of a Woman,melodrama
Dinner Mate,comedy
Dinner Mate,romance
Dinner Mate,life
Dinner Mate,drama
The Spies Who Loved Me,action
The Spies Who Loved Me,mystery
The Spies Who Loved Me,comedy
The Spies Who Loved Me,romance
Soolkkundoshiyeojadeul,friendship
Soolkkundoshiyeojadeul,comedy
Soolkkundoshiyeojadeul,life
Soolkkundoshiyeojadeul,drama
Angry Mom,comedy
Angry Mom,drama
Angry Mom,melodrama
Angry Mom,romance
Angry Mom,drama
Angry Mom,family
I Have a Lover,romance
I Have a Lover,drama
I Have a Lover,melodrama
Missing You,romance
Missing You,drama
Missing You,melodrama
Beautiful Gong Shim,comedy
Beautiful Gong Shim,romance
Beautiful Gong Shim,drama
Reflection of You,thriller
Reflection of You,mystery
Reflection of You,drama
Reflection of You,melodrama
Princess Aurora,comedy
Princess Aurora,romance
