Genres,Tags,Country,Episodes,start airing,end airing,Aired On,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers,actors,platforms,drama_name,imdb_rating,imdb_user_count,imdb_description
"['historical', 'romance', 'drama']","['historical fiction', 'sword-fight', 'baekje dynasty', 'silla dynasty ']",South Korea,36,"Jul 25, 2011","Nov 22, 2011","['monday', 'tuesday']",['MBC'],65,7.6,480,4616,5718,15+ - Teens 15 or older,"1,556","['Lee Seo Jin', 'Song Ji Hyo', 'Oh Yeon Soo', 'Jo Jae Hyun', 'Choi Jong Hwan', 'Kim Joong Ki']","['Viki', 'Kocowa']",Gyebaek,N/A,N/A,N/A
"['action', 'thriller', 'historical', 'sci-fi']","['mercenary', 'butler supporting character', 'warrior female lead', 'long time friends', '1940s', 'teamwork', 'strong male lead', 'monsters', 'miniseries', 'street fight ']",South Korea,10,N/A,N/A,N/A,['Netflix'],60,N/A,N/A,37087,1188,18+ Restricted (violence & profanity),"11,722","['Park Seo Joon', 'Han So Hee', 'Kim Su Hyun', 'Kim Hae Sook', 'Jo Han Chul', 'Wi Ha Joon']",['Netflix'],Gyeongseong Creature,N/A,N/A,N/A
"['action', 'adventure', 'historical', 'political']","['leadership', 'joseon dynasty', 'strong male lead', 'teamwork', 'slight romance', 'bromance', 'oblivious female lead', 'underdog', 'power struggle', 'smart male lead ']",South Korea,48,"Feb 11, 2019","Apr 30, 2019","['monday', 'tuesday']",['SBS'],30,8.1,2414,1781,1591,15+ - Teens 15 or older,"8,610","['Jung Il Woo', 'Go Ah Ra', 'Kwon Yool', 'Park Hoon', 'Lee Kyung Young', 'Jung Moon Sung']","['Viki', 'Kocowa']",Haechi,7.6,332,
"['business', 'comedy', 'romance', 'drama']","['workplace setting', 'workplace romance', 'nice female lead', 'secondary couple', 'forbidden love', 'rich female lead', 'sassy female lead', 'secret relationship', 'boxing', 'rich woman/poor man ']",South Korea,58,"Feb  9, 2008","Aug 31, 2008","['saturday', 'sunday']",['SBS'],70,7.1,90,55529,11399,15+ - Teens 15 or older,462,"['Kim Hyo Jin', 'Lee Hoon', 'Lee Jong Won', 'Ha Seok Jin', 'Lee Eun Sung', 'Chae Young In']",[],Happiness,7.9,"8,050",
"['romance', 'drama']",[''],South Korea,179,"Jan 31, 2005","Aug 27, 2005","['monday', 'tuesday', 'wednesday', 'thursday', 'friday', 'saturday']",['KBS1'],25,8.0,2,99999,99999,Not Yet Rated,29,"['Hong Eun Hee', 'Kim Sung Eun', 'Im Ho', 'Lee Hyung Chul', 'Im Chae Moo', 'Moon Cheon Shik']",[],Happiness in the Wind,N/A,N/A,N/A
"['drama', 'family']",[''],South Korea,24,"Apr 23, 2012","Jul 16, 2012","['monday', 'tuesday']",['jTBC'],65,7.3,133,51561,11633,15+ - Teens 15 or older,444,"['Kim So Eun', 'So Yoo Jin', 'Choi Min Soo', 'Shim Hye Jin', 'Park Jung Chul', 'Choi Bool Am']",[],Happy Ending,8,10,
"['romance', 'drama', 'melodrama']","['nice male lead', 'tearjerker', 'infidelity', 'tragic past', 'multiple couples', 'love triangle', 'single father', 'soap opera', 'multi-generational', 'second chance ']",South Korea,51,"Feb 27, 2016","Aug 21, 2016","['saturday', 'sunday']",['MBC'],70,7.3,388,6891,5004,15+ - Teens 15 or older,"1,900","['Kim So Yeon', 'Lee Sang Woo', 'Lee Pil Mo', 'Kang Yi Eun', 'Kim Yeong Cheol', 'Won Mi Kyung']",[],Happy Home,N/A,N/A,N/A
"['romance', 'melodrama']","['infidelity', 'older woman/younger man', 'marriage of convenience', 'multiple couples', 'rich man/poor woman ']",South Korea,120,"Dec  4, 2017","May 25, 2018","['monday', 'tuesday', 'wednesday', 'thursday', 'friday']",['SBS'],35,7.5,163,48401,10712,15+ - Teens 15 or older,522,"['Shim Yi Young', 'Han Young', 'Oh Dae Gyu', 'Kang Seo Joon', 'Lee Shi Kang', 'Ban So Young']",[],Happy Sisters,7.9,8,
"['romance', 'drama', 'melodrama']","['counselor male lead', 'athlete male lead', 'long lost sibling', 'family reunion', 'multiple mains', 'multiple couples', 'family ']",South Korea,16,"Jun 16, 1999","Aug  5, 1999","['wednesday', 'thursday']",['SBS'],65,7.3,159,52131,9656,Not Yet Rated,631,"['Lee Byung Hun', 'Song Seung Heon', 'Kim Ha Neul', 'Jun Ji Hyun', 'Kang Sung Yun', 'Jo Min Soo']",[],Happy Together,7.5,39,
"['thriller', 'mystery', 'romance', 'supernatural']","['psychometry', 'tragic past', 'nice male lead', 'smart female lead', 'bromance', 'strong female lead', 'slow romance', 'sassy female lead', 'death', 'investigation ']",South Korea,16,"Mar 11, 2019","Apr 30, 2019","['monday', 'tuesday']",['tvN'],64,8.3,33999,903,69,15+ - Teens 15 or older,"81,204","['Park Jin Young', 'Shin Ye Eun', 'Kim Kwon', 'Kim Da Som', 'Noh Jong Hyun', 'Go Youn Jung']","['Viki', 'WeTV', 'Prime Video', 'K-DRAMA', 'Apple TV', 'iQIYI']",He Is Psychometric,7.7,"2,103",
